title,year,director,genres
Rocky II,,,
Two for the Money,,,
Weird Science,,,
Snake Eyes,,,
The Truman Show,,,
Halloween II,,,
Quiz Show,,,
Sneakers,,,
Jeremiah Johnson,,,
The Sting,,,
Airplane!,,,
Tin Cup,,,
The Legend of Billie Jean,,,
American Gangster,,,
Witness,,,
Sinners,,,
Rollerball,1975,,
RoboCop,1987,,
Brokeback Mountain,,,
Species,,,
It,,,
Jaws 2,,,
After Hours,,,
Die Hard With a Vengeance,,,
Marathon Man,,,
Working Girl,,,
Out for Justice,,,
Heaven Can Wait,,,
Close Encounters of the Third Kind,,,
Death Wish,,,
Star Wars: A New Hope,,,
Star Wars: A New Hope,,,
Someone to Watch Over Me,,,
Minority Report,,,
Can,,,
The Saint,,,
Good Will Hunting,,,
Blue Chips,,,
Days of Thunder,,,
Best in Show,,,
Rocky,,,
Crash,,,
Wayne,,,
The Blues Brothers,,,
Before Sunset,,,
Before Sunrise,,,
Den of Thieves,,,
Friday Night Lights,,,
Home Alone 2: Lost in New York,,,
The Gambler,2014,,
Disclosure,,,
Running Scared,1986,,
The Replacements,,,
Meet the Parents,,,
Body Double,,,
Halloween 4,,,
Hereditary,,,
The Silence of the Lambs,,,
Poltergeist,,,
The Blair Witch Project,,,
Over The Top,,,
John Wick,,,
The Sixth Sense,,,
Night Shift,,,
Purple Rain,,,
Rudy,,,
The Grand Budapest Hotel,,,
Dodgeball,,,
Pulp Fiction,,,
Pulp Fiction,,,
No Way Out,,,
Notting Hill,,,
True Lies,,,
For Love of the Game,,,
Twister,,,
Austin Powers: The Spy Who Shagged Me,,,
The Naked Gun,,,
Big Daddy,,,
The Bad News Bears,1976,,
The Longest Yard,1974,,
Breaking Away,,,
Slap Shot,,,
Fast Times at Ridgemont High,,,
Back to the Future Part II,,,
Jerry Maguire,,,
Along Came Polly,,,
The Running Man,,,
Hardcore,,,
Magnolia,,,
The War of the Roses,,,
Shot Caller,,,
Manchester by the Sea,,,
Internal Affairs,,,
Risky Business,,,
Road House,,,
Rounders,,,
Creed,,,
Forrest Gump,,,
The Fugitive,,,
The Insider,,,
Philadelphia,,,
Silver Linings Playbook,,,
Flight,,,
Searching for Bobby Fischer,,,
Under Siege,,,
National Lampoon,,,
The Pelican Brief,,,
Sea of Love,,,
American Pie,,,
Mr. and Mrs. Smith,,,
An Officer and a Gentleman,,,
Robin Hood: Prince of Thieves,,,
The Omen’,,,
In the Line of Fire,,,
So I Married an Axe Murderer,,,
They Live,,,
Toy Soldiers,,,
The Big Chill,,,
A Bronx Tale,,,
Blackhat,,,
Lost in Translation,,,
The Equalizer,,,
Cruel Intentions,,,
Eyes Wide Shut,,,
National Lampoon,,,
A Few Good (Re)Men,,,
The Devil,,,
And Justice For All,,,
My Cousin Vinny,,,
A Time to Kill,,,
Primal Fear,,,
This Is the End,,,
Indiana Jones and the Last Crusade,,,
Blood Diamond,,,
Dumb and Dumber,,,
Casino Royale,,,
The Last Days of Disco,,,
Trading Places,,,
Chef,,,
Iron Man,,,
Sudden Death,,,
Alien,,,
Indecent Proposal,,,
He Got Game,,,
Cape Fear,,,
Adventureland,,,
Bad Boys,1983,,
The Purge,,,
Catch Me If You Can,,,
Whiplash,,,
Sleepless in Seattle,,,
The Vanishing,,,
Deliverance,,,
Big,,,
Alive,,,
Sideways,,,
Cliffhanger,,,
Mission: Impossible - Fallout,,,
I Am Legend,,,
The Verdict,,,
Man on Fire,,,
"Planes, Trains, and Automobiles",,,
Body Heat,,,
Blow Out,,,
Cruising,,,
American Gigolo,,,
The Edge,,,
Pineapple Express,,,
Glengarry Glen Ross,,,
Pitch Perfect,,,
Boogie Nights,,,
